"Policy_ID","Account_Name","Occupancy_Type","Construction_Type","Protection_Class","Sprinklered","Building_Age_Years","TIV_Band","Account_Significance","Wind_Hail_Exposure","Flood_Zone","Region","Transaction_Type","Underwriter","Underwriting_Assistant","Submission_Date","Target_Issuance_Date","Actual_Issuance_Date","Policy_Status","Days_Outstanding","Aging_Bucket","Outstanding_Item","Next_Action_Owner","Recommended_Next_Action","Renewal_Date","Attention_Score","Priority","Score_Driver"
"CPU-210011","Cedarpoint Logistics Center","Office","Frame","4","No","30","$1M-$5M","Standard","Low","Zone AE - High-Risk","West","Renewal","K. Sorensen","A. Lindqvist","2026-07-07","2026-07-26","2026-08-01","Issued","25","16-30 days","None","None","None - closed","2026-08-08","0","N/A","Closed"
"CPU-210012","Brightwater Plastics Inc.","Manufacturing/Industrial","Non-Combustible","3","Partial","57","$10M-$25M","Standard","High","Zone AE - High-Risk","Southeast","Renewal","D. Whitfield","A. Lindqvist","2026-07-27","2026-08-19","2026-08-16","Issued","20","16-30 days","None","None","None - closed","2026-08-09","0","N/A","Closed"
"CPU-210013","Meridian Distribution Group","Retail/Mercantile","Joisted Masonry","6","Yes","16","$10M-$25M","Standard","Low","Zone A - Moderate","Northeast","New Business","L. Marquez","P. Trang","2026-07-23","2026-08-08","","In Underwriting Review","25","16-30 days","None","Underwriter","Complete risk assessment and pricing","2027-07-23","67","High","Overdue vs. target issuance date"
"CPU-210014","Union Grove Manufacturing","Warehouse & Distribution","Joisted Masonry","8","No","43","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","Renewal","D. Whitfield","A. Lindqvist","2026-07-25","2026-08-19","","Quoted - Awaiting Response","23","16-30 days","None","Broker/Agent","Follow up with broker on quote decision","2026-10-03","54","Medium","Target issuance date due within 5 days"
"CPU-210015","Crestline Packaging Co.","Warehouse & Distribution","Joisted Masonry","6","Yes","6","$5M-$10M","Standard","Low","Zone X - Minimal","West","Renewal","K. Sorensen","N. Osei","2026-08-05","2026-09-05","2026-08-16","Issued","11","11-15 days","None","None","None - closed","2026-08-17","0","N/A","Closed"
"CPU-210016","Meridian Distribution Group","Manufacturing/Industrial","Non-Combustible","7","Partial","28","$5M-$10M","Standard","High","Zone AE - High-Risk","Southeast","Renewal","M. Chen","P. Trang","2026-07-08","2026-07-27","","On Hold - Missing Information","40","30+ days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2026-09-26","95","High","Overdue vs. target issuance date"
"CPU-210017","Summit Self Storage","Retail/Mercantile","Joisted Masonry","6","No","34","$10M-$25M","Standard","Low","Zone X - Minimal","Southeast","Renewal","T. Novak","B. Ruiz","2026-07-10","2026-07-24","","Issuance In Progress","38","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-15","68","High","Overdue vs. target issuance date"
"CPU-210018","Brightwater Packaging Co.","Retail/Mercantile","Masonry Non-Combustible","4","Partial","13","$10M-$25M","Standard","Low","Zone X - Minimal","West","Renewal","L. Marquez","B. Ruiz","2026-08-11","2026-09-17","","Issuance In Progress","6","6-10 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-10-11","16","Low","Routine - no single dominant factor"
"CPU-210019","Union Grove Freight Terminal","Habitational (Multifamily)","Modified Fire-Resistive","1","Yes","46","$25M-$50M","Notable","Moderate","Zone A - Moderate","West","Renewal","K. Sorensen","A. Lindqvist","2026-07-15","2026-08-25","","Issuance In Progress","33","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-08","50","Medium","Aged 30+ days outstanding"
"CPU-210020","Millbrook Plastics Inc.","Warehouse & Distribution","Joisted Masonry","4","No","1","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","New Business","S. Patel","B. Ruiz","2026-07-12","2026-08-05","2026-08-07","Issued","26","16-30 days","None","None","None - closed","2027-07-12","0","N/A","Closed"
"CPU-210021","Amber Valley Realty Partners","Warehouse & Distribution","Joisted Masonry","4","No","1","$10M-$25M","Standard","Low","Zone X - Minimal","South Central","Renewal","R. Okafor","H. Buckley","2026-07-28","2026-08-31","2026-08-16","Issued","19","16-30 days","None","None","None - closed","2026-09-15","0","N/A","Closed"
"CPU-210022","Bluepoint Realty Partners","Restaurant/Hospitality","Joisted Masonry","6","Partial","48","$10M-$25M","Standard","Low","Zone X - Minimal","Midwest","Renewal","T. Novak","B. Ruiz","2026-08-15","2026-09-18","","On Hold - Missing Information","2","0-5 days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2026-09-01","25","Low","Blocking item: Updated appraisal/valuation needed"
"CPU-210023","Cascade Realty Partners","Office","Fire-Resistive","3","Yes","50","$100M+","Significant","Low","Zone X - Minimal","Midwest","Renewal","M. Chen","A. Lindqvist","2026-08-14","2026-08-28","","Issuance In Progress","3","0-5 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-08-23","20","Low","Target issuance date approaching"
"CPU-210024","Foxridge Hospitality Group","Warehouse & Distribution","Joisted Masonry","6","Yes","75","$1M-$5M","Standard","Moderate","Zone X - Minimal","South Central","New Business","J. Alvarez","B. Ruiz","2026-08-03","2026-08-24","","Quoted - Awaiting Response","14","11-15 days","None","Broker/Agent","Follow up with broker on quote decision","2027-08-03","37","Medium","Target issuance date approaching"
"CPU-210025","Crestline Distribution Group","Habitational (Multifamily)","Joisted Masonry","6","Partial","20","$5M-$10M","Standard","Low","Zone A - Moderate","Midwest","Endorsement","D. Whitfield","P. Trang","2026-08-12","2026-09-12","2026-08-16","Issued","4","0-5 days","None","None","None - closed","2027-08-12","0","N/A","Closed"
"CPU-210026","Meridian Storage Solutions","Restaurant/Hospitality","Frame","10","No","60","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","Endorsement","D. Whitfield","P. Trang","2026-07-13","2026-08-18","","Issuance In Progress","35","30+ days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2027-07-13","77","High","Target issuance date due within 5 days"
"CPU-210027","Ironwood Self Storage","Manufacturing/Industrial","Joisted Masonry","3","Yes","60","$1M-$5M","Standard","High","Zone AE - High-Risk","Northeast","New Business","L. Marquez","C. Feldman","2026-08-07","2026-09-07","","Bound - Pending Issuance","10","6-10 days","Payment / down payment pending","Client","Follow up on down payment to release policy","2027-08-07","24","Low","Routine - no single dominant factor"
"CPU-210028","Harborview Self Storage","Habitational (Multifamily)","Joisted Masonry","3","Yes","11","$25M-$50M","Notable","Low","Zone X - Minimal","West","Endorsement","L. Marquez","C. Feldman","2026-07-28","2026-09-06","","On Hold - Missing Information","20","16-30 days","Wind mitigation report pending","Broker/Agent","Request wind mitigation inspection report for credit eligibility","2027-07-28","57","Medium","Hard blocker: Wind mitigation report pending"
"CPU-210029","Lakeshore Cold Storage","Restaurant/Hospitality","Non-Combustible","5","Yes","20","$5M-$10M","Standard","High","Zone AE - High-Risk","Southeast","Endorsement","K. Sorensen","B. Ruiz","2026-08-04","2026-08-24","","Bound - Pending Issuance","13","11-15 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2027-08-04","62","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
"CPU-210030","Northgate Retail Center","Manufacturing/Industrial","Frame","9","Partial","60","$25M-$50M","Notable","Low","Zone X - Minimal","Southeast","Renewal","R. Okafor","C. Feldman","2026-08-09","2026-08-30","2026-08-16","Issued","7","6-10 days","None","None","None - closed","2026-10-14","0","N/A","Closed"
"CPU-210031","Ironwood Logistics Center","Self-Storage","Frame","4","Yes","60","$5M-$10M","Standard","Moderate","Zone A - Moderate","South Central","Endorsement","M. Chen","P. Trang","2026-07-24","2026-08-18","2026-08-16","Issued","23","16-30 days","None","None","None - closed","2027-07-24","0","N/A","Closed"
"CPU-210032","Cedarpoint Apartments","Habitational (Multifamily)","Joisted Masonry","3","No","31","$25M-$50M","Notable","Low","Zone A - Moderate","Midwest","Renewal","M. Chen","C. Feldman","2026-08-13","2026-08-29","2026-08-16","Issued","3","0-5 days","None","None","None - closed","2026-09-19","0","N/A","Closed"
"CPU-210033","Timberline Storage Solutions","Retail/Mercantile","Joisted Masonry","10","Partial","69","$1M-$5M","Standard","Low","Zone X - Minimal","Midwest","Endorsement","D. Whitfield","P. Trang","2026-08-03","2026-09-01","","Bound - Pending Issuance","14","11-15 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-08-03","35","Medium","Target issuance date approaching"
"CPU-210034","Amber Valley Cold Storage","Retail/Mercantile","Frame","5","Partial","37","$5M-$10M","Standard","Low","Zone X - Minimal","Northeast","New Business","J. Alvarez","N. Osei","2026-08-08","2026-08-30","","In Underwriting Review","9","6-10 days","None","Underwriter","Complete risk assessment and pricing","2027-08-08","35","Medium","Target issuance date approaching"
"CPU-210035","Union Grove Plastics Inc.","Self-Storage","Joisted Masonry","1","Yes","48","$1M-$5M","Standard","Low","Zone X - Minimal","Midwest","Renewal","J. Alvarez","P. Trang","2026-08-15","2026-09-12","","In Underwriting Review","2","0-5 days","Roof condition documentation pending","Broker/Agent","Request roof certification / condition report","2026-09-10","25","Low","Blocking item: Roof condition documentation pending"
"CPU-210036","Northgate Properties","Warehouse & Distribution","Frame","3","Yes","80","$5M-$10M","Standard","Moderate","Zone X - Minimal","South Central","New Business","M. Chen","A. Lindqvist","2026-07-18","2026-08-06","","In Underwriting Review","30","16-30 days","None","Underwriter","Complete risk assessment and pricing","2027-07-18","67","High","Overdue vs. target issuance date"
"CPU-210037","Northgate Realty Partners","Manufacturing/Industrial","Frame","5","Yes","71","$5M-$10M","Standard","Low","Zone A - Moderate","West","Endorsement","L. Marquez","C. Feldman","2026-08-13","2026-09-05","","Submitted - Awaiting Review","4","0-5 days","None","Underwriter","Assign for initial underwriting review","2027-08-13","15","Low","Next action sits with the underwriter"
"CPU-210038","Foxridge Plastics Inc.","Manufacturing/Industrial","Joisted Masonry","6","No","4","$5M-$10M","Standard","Moderate","Zone X - Minimal","Midwest","New Business","T. Novak","A. Lindqvist","2026-07-10","2026-07-27","2026-07-25","Issued","15","11-15 days","None","None","None - closed","2027-07-10","0","N/A","Closed"
"CPU-210039","Foxridge Metal Works","Warehouse & Distribution","Joisted Masonry","3","Yes","28","$50M-$100M","Significant","Low","Zone X - Minimal","Northeast","Endorsement","S. Patel","B. Ruiz","2026-08-09","2026-09-10","2026-08-16","Issued","7","6-10 days","None","None","None - closed","2027-08-09","0","N/A","Closed"
"CPU-210040","Cascade Metal Works","Habitational (Multifamily)","Joisted Masonry","5","Yes","78","$25M-$50M","Notable","High","Zone X - Minimal","West","Endorsement","L. Marquez","P. Trang","2026-08-13","2026-09-15","","Bound - Pending Issuance","4","0-5 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-08-13","8","Low","Routine - no single dominant factor"
"CPU-210041","Fairview Hospitality Group","Warehouse & Distribution","Modified Fire-Resistive","10","Partial","49","$100M+","Significant","Low","Zone X - Minimal","Midwest","Renewal","S. Patel","H. Buckley","2026-08-11","2026-09-24","2026-08-16","Issued","5","0-5 days","None","None","None - closed","2026-08-07","0","N/A","Closed"
"CPU-210042","Lakeshore Holdings","Office","Non-Combustible","9","Partial","43","$50M-$100M","Significant","High","Zone VE - Coastal High-Risk","Southeast","Endorsement","M. Chen","C. Feldman","2026-07-28","2026-09-06","2026-08-16","Issued","19","16-30 days","None","None","None - closed","2027-07-28","0","N/A","Closed"
"CPU-210043","Northgate Freight Terminal","Manufacturing/Industrial","Fire-Resistive","2","Yes","20","$1M-$5M","Standard","Moderate","Zone A - Moderate","Northeast","Endorsement","L. Marquez","P. Trang","2026-08-15","2026-09-18","","On Hold - Missing Information","2","0-5 days","Updated appraisal/valuation needed","Client","Request current replacement-cost valuation","2027-08-15","25","Low","Blocking item: Updated appraisal/valuation needed"
"CPU-210044","Summit Storage Solutions","Retail/Mercantile","Joisted Masonry","2","Partial","10","$50M-$100M","Significant","High","Zone VE - Coastal High-Risk","Northeast","New Business","J. Alvarez","B. Ruiz","2026-08-10","2026-09-08","","Issuance In Progress","7","6-10 days","Wind mitigation report pending","Broker/Agent","Request wind mitigation inspection report for credit eligibility","2027-08-10","43","Medium","Hard blocker: Wind mitigation report pending"
"CPU-210045","Ironwood Cold Storage","Warehouse & Distribution","Non-Combustible","6","No","77","$10M-$25M","Standard","Low","Zone X - Minimal","West","Renewal","S. Patel","A. Lindqvist","2026-07-14","2026-08-23","2026-08-16","Cancelled/Declined","33","30+ days","None","None","None - closed","2026-09-13","0","N/A","Closed"
"CPU-210046","Amber Valley Logistics Center","Self-Storage","Frame","5","No","69","$5M-$10M","Standard","Moderate","Zone X - Minimal","West","New Business","L. Marquez","A. Lindqvist","2026-07-16","2026-08-21","","Bound - Pending Issuance","32","30+ days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-07-16","60","Medium","Target issuance date due within 5 days"
"CPU-210047","Bluepoint Hospitality Group","Manufacturing/Industrial","Modified Fire-Resistive","4","Partial","65","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","New Business","K. Sorensen","P. Trang","2026-07-31","2026-08-29","","In Underwriting Review","17","16-30 days","Statement of Values (SOV) incomplete","Broker/Agent","Request updated Statement of Values from broker","2027-07-31","69","High","Hard blocker: Statement of Values (SOV) incomplete"
"CPU-210048","Amber Valley Hospitality Group","Warehouse & Distribution","Masonry Non-Combustible","3","Yes","22","$5M-$10M","Standard","Low","Zone X - Minimal","Northeast","New Business","M. Chen","A. Lindqvist","2026-07-05","2026-08-15","2026-08-15","Issued","41","30+ days","None","None","None - closed","2027-07-05","0","N/A","Closed"
"CPU-210049","Summit Freight Terminal","Habitational (Multifamily)","Modified Fire-Resistive","6","Yes","48","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","New Business","T. Novak","C. Feldman","2026-07-09","2026-07-27","","Submitted - Awaiting Review","39","30+ days","None","Underwriter","Assign for initial underwriting review","2027-07-09","75","High","Overdue vs. target issuance date"
"CPU-210050","Prairie Bend Realty Partners","Manufacturing/Industrial","Joisted Masonry","7","Yes","49","$50M-$100M","Significant","Low","Zone A - Moderate","South Central","Renewal","T. Novak","B. Ruiz","2026-07-16","2026-08-10","","Bound - Pending Issuance","32","30+ days","None","Underwriting Assistant","Route to issuance / complete policy documents","2026-10-10","68","High","Overdue vs. target issuance date"
"CPU-210051","Cedarpoint Properties","Retail/Mercantile","Masonry Non-Combustible","3","No","67","$25M-$50M","Notable","Low","Zone A - Moderate","West","Renewal","M. Chen","P. Trang","2026-07-29","2026-08-24","","Issuance In Progress","19","16-30 days","None","Underwriting Assistant","Finalize issuance paperwork","2026-09-15","42","Medium","Aged 16-30 days outstanding"
"CPU-210052","Wrenfield Properties","Office","Non-Combustible","4","Yes","43","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","Endorsement","L. Marquez","A. Lindqvist","2026-07-25","2026-09-07","","Quoted - Awaiting Response","23","16-30 days","Roof condition documentation pending","Broker/Agent","Request roof certification / condition report","2027-07-25","47","Medium","Aged 16-30 days outstanding"
"CPU-210053","Cascade Business Park","Retail/Mercantile","Masonry Non-Combustible","6","No","77","$1M-$5M","Standard","Moderate","Zone AE - High-Risk","Southeast","Endorsement","J. Alvarez","B. Ruiz","2026-08-07","2026-09-09","","In Underwriting Review","10","6-10 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2027-08-07","43","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
"CPU-210054","Summit Industries","Warehouse & Distribution","Joisted Masonry","8","Yes","31","$10M-$25M","Standard","Low","Zone X - Minimal","West","New Business","K. Sorensen","N. Osei","2026-07-11","2026-07-25","2026-07-27","Issued","16","16-30 days","None","None","None - closed","2027-07-11","0","N/A","Closed"
"CPU-210055","Stonebridge Manufacturing","Retail/Mercantile","Non-Combustible","4","Yes","17","$1M-$5M","Standard","Low","Zone X - Minimal","Southeast","Renewal","R. Okafor","B. Ruiz","2026-08-05","2026-09-02","2026-08-16","Issued","11","11-15 days","None","None","None - closed","2026-09-21","0","N/A","Closed"
"CPU-210056","Bluepoint Freight Terminal","Retail/Mercantile","Masonry Non-Combustible","4","Partial","29","$1M-$5M","Standard","Low","Zone X - Minimal","Southeast","Renewal","T. Novak","P. Trang","2026-07-15","2026-08-20","","Issuance In Progress","33","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2026-08-10","60","Medium","Target issuance date due within 5 days"
"CPU-210057","Union Grove Storage Solutions","Manufacturing/Industrial","Frame","4","Yes","42","$10M-$25M","Standard","Low","Zone A - Moderate","West","Renewal","R. Okafor","C. Feldman","2026-07-09","2026-07-23","2026-07-24","Issued","15","11-15 days","None","None","None - closed","2026-08-07","0","N/A","Closed"
"CPU-210058","Prairie Bend Properties","Habitational (Multifamily)","Masonry Non-Combustible","6","Yes","49","$10M-$25M","Standard","Low","Zone X - Minimal","South Central","New Business","D. Whitfield","B. Ruiz","2026-07-19","2026-08-04","","In Underwriting Review","29","16-30 days","None","Underwriter","Complete risk assessment and pricing","2027-07-19","67","High","Overdue vs. target issuance date"
"CPU-210059","Timberline Hospitality Group","Manufacturing/Industrial","Joisted Masonry","2","Partial","70","$5M-$10M","Standard","Low","Zone A - Moderate","Midwest","Endorsement","J. Alvarez","A. Lindqvist","2026-08-03","2026-08-23","2026-08-16","Issued","13","11-15 days","None","None","None - closed","2027-08-03","0","N/A","Closed"
"CPU-210060","Northgate Logistics Center","Manufacturing/Industrial","Non-Combustible","10","Yes","18","$25M-$50M","Notable","Low","Zone X - Minimal","Southeast","New Business","L. Marquez","B. Ruiz","2026-07-16","2026-08-26","","Quoted - Awaiting Response","32","30+ days","Payment / down payment pending","Client","Follow up on down payment to release policy","2027-07-16","58","Medium","Aged 30+ days outstanding"
"CPU-210061","Crestline Plaza","Habitational (Multifamily)","Non-Combustible","6","Yes","37","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","New Business","M. Chen","C. Feldman","2026-08-01","2026-08-27","","In Underwriting Review","16","16-30 days","None","Underwriter","Complete risk assessment and pricing","2027-08-01","49","Medium","Aged 16-30 days outstanding"
"CPU-210062","Cedarpoint Cold Storage","Office","Non-Combustible","5","No","76","$10M-$25M","Standard","Low","Zone X - Minimal","Midwest","Renewal","K. Sorensen","B. Ruiz","2026-07-30","2026-08-27","","Bound - Pending Issuance","18","16-30 days","Roof condition documentation pending","Broker/Agent","Request roof certification / condition report","2026-09-18","59","Medium","Aged 16-30 days outstanding"
"CPU-210063","Amber Valley Fabrication","Warehouse & Distribution","Masonry Non-Combustible","4","Yes","7","$5M-$10M","Standard","Low","Zone X - Minimal","Northeast","New Business","M. Chen","C. Feldman","2026-08-16","2026-09-06","2026-08-16","Issued","0","0-5 days","None","None","None - closed","2027-08-16","0","N/A","Closed"
"CPU-210064","Harborview Metal Works","Manufacturing/Industrial","Joisted Masonry","2","No","15","$5M-$10M","Standard","Low","Zone X - Minimal","Northeast","New Business","J. Alvarez","H. Buckley","2026-07-26","2026-09-05","","Bound - Pending Issuance","22","16-30 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-07-26","30","Low","Aged 16-30 days outstanding"
"CPU-210065","Ironwood Industries","Warehouse & Distribution","Joisted Masonry","4","Yes","24","$10M-$25M","Standard","Low","Zone AE - High-Risk","South Central","Renewal","J. Alvarez","P. Trang","2026-07-12","2026-08-23","","Bound - Pending Issuance","36","30+ days","Elevation certificate needed (flood zone)","Broker/Agent","Request elevation certificate from insured/broker","2026-08-24","77","High","Hard blocker: Elevation certificate needed (flood zone)"
"CPU-210066","Harborview Industries","Retail/Mercantile","Frame","3","No","7","$10M-$25M","Standard","Moderate","Zone A - Moderate","South Central","Renewal","T. Novak","A. Lindqvist","2026-07-25","2026-08-13","2026-08-11","Issued","17","16-30 days","None","None","None - closed","2026-10-07","0","N/A","Closed"
"CPU-210067","Lakeshore Plastics Inc.","Retail/Mercantile","Frame","4","Yes","49","$25M-$50M","Notable","High","Zone AE - High-Risk","South Central","New Business","D. Whitfield","B. Ruiz","2026-07-14","2026-08-05","2026-08-04","Issued","21","16-30 days","None","None","None - closed","2027-07-14","0","N/A","Closed"
"CPU-210068","Meridian Properties","Warehouse & Distribution","Non-Combustible","10","Yes","27","$5M-$10M","Standard","Low","Zone X - Minimal","South Central","Endorsement","T. Novak","B. Ruiz","2026-08-12","2026-08-27","","Issuance In Progress","5","0-5 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-08-12","20","Low","Target issuance date approaching"
"CPU-210069","Brightwater Self Storage","Manufacturing/Industrial","Modified Fire-Resistive","10","No","7","$5M-$10M","Standard","Low","Zone X - Minimal","Southeast","Renewal","T. Novak","N. Osei","2026-07-26","2026-08-31","2026-08-16","Issued","21","16-30 days","None","None","None - closed","2026-08-27","0","N/A","Closed"
"CPU-210070","Lakeshore Storage Solutions","Warehouse & Distribution","Non-Combustible","3","Partial","56","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","New Business","J. Alvarez","C. Feldman","2026-08-05","2026-09-18","","Bound - Pending Issuance","12","11-15 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2027-08-05","23","Low","Routine - no single dominant factor"
"CPU-210071","Fairview Business Park","Manufacturing/Industrial","Modified Fire-Resistive","6","Partial","2","$50M-$100M","Significant","Low","Zone X - Minimal","South Central","Endorsement","D. Whitfield","N. Osei","2026-08-07","2026-09-04","","Issuance In Progress","10","6-10 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-08-07","16","Low","Routine - no single dominant factor"
"CPU-210072","Fairview Logistics Center","Habitational (Multifamily)","Masonry Non-Combustible","10","Yes","18","$1M-$5M","Standard","Low","Zone X - Minimal","Northeast","New Business","S. Patel","P. Trang","2026-07-31","2026-08-28","2026-08-16","Issued","16","16-30 days","None","None","None - closed","2027-07-31","0","N/A","Closed"
"CPU-210073","Stonebridge Storage Solutions","Office","Frame","5","Yes","32","$50M-$100M","Significant","Low","Zone A - Moderate","South Central","Renewal","T. Novak","A. Lindqvist","2026-08-01","2026-09-01","","Quoted - Awaiting Response","16","16-30 days","None","Broker/Agent","Follow up with broker on quote decision","2026-09-12","44","Medium","Aged 16-30 days outstanding"
"CPU-210074","Millbrook Cold Storage","Habitational (Multifamily)","Modified Fire-Resistive","5","No","59","$1M-$5M","Standard","Low","Zone X - Minimal","West","Renewal","L. Marquez","A. Lindqvist","2026-07-08","2026-08-20","2026-08-16","Issued","39","30+ days","None","None","None - closed","2026-09-24","0","N/A","Closed"
"CPU-210075","Cascade Hospitality Group","Self-Storage","Fire-Resistive","6","Yes","63","$5M-$10M","Standard","Moderate","Zone X - Minimal","South Central","Renewal","T. Novak","A. Lindqvist","2026-08-03","2026-08-20","2026-08-16","Issued","13","11-15 days","None","None","None - closed","2026-10-04","0","N/A","Closed"
"CPU-210076","Oakhollow Holdings","Warehouse & Distribution","Non-Combustible","5","Yes","11","$25M-$50M","Notable","Low","Zone X - Minimal","Midwest","New Business","K. Sorensen","H. Buckley","2026-07-08","2026-07-29","2026-08-06","Issued","29","16-30 days","None","None","None - closed","2027-07-08","0","N/A","Closed"
"CPU-210077","Prairie Bend Holdings","Habitational (Multifamily)","Non-Combustible","5","No","57","$10M-$25M","Standard","Low","Zone X - Minimal","South Central","Endorsement","T. Novak","P. Trang","2026-07-16","2026-08-09","","Quoted - Awaiting Response","32","30+ days","None","Broker/Agent","Follow up with broker on quote decision","2027-07-16","70","High","Overdue vs. target issuance date"
"CPU-210078","Wrenfield Holdings","Manufacturing/Industrial","Frame","6","Yes","69","$10M-$25M","Standard","Low","Zone A - Moderate","Northeast","New Business","D. Whitfield","N. Osei","2026-07-31","2026-09-02","","Issuance In Progress","17","16-30 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-07-31","30","Low","Aged 16-30 days outstanding"
